Country Name,Country Code,Region
Saint Vincent and the Grenadines,VCT,Western Hemisphere
Venezuela,VEN,Western Hemisphere
British Virgin Islands,VGB,Western Hemisphere
Virgin Islands (U.S.),VIR,Western Hemisphere
Vietnam,VNM,East Asia and the Pacific
Vanuatu,VUT,East Asia and the Pacific
World,WLD,
Samoa,WSM,East Asia and the Pacific
Kosovo,XKX,
"Yemen, Rep.",YEM,Near East (North Africa and the Middle East)
South Africa,ZAF,Africa (sub-Sahara)
Zambia,ZMB,Africa (sub-Sahara)
Zimbabwe,ZWE,Africa (sub-Sahara)
Saint Lucia,,Western Hemisphere
Martinique,,Western Hemisphere
Taiwan*,,East Asia and the Pacific
Hong Kong*,,East Asia and the Pacific
Holy See,,Europe and Eurasia
